Nome;Unidade;quantidade
AÇAI NATURAL POTE 250 ML - INSUMO;UN;0
GELATO PISTACHE;KG;0
GELATO CARAMELO SALGADO;KG;0
TANGERINA 240ML - INSUMO;UN;0
CUPUAÇU 240ML - INSUMO;UN;0
TAMPA 300 ML;UN;0
MORANGO 240ML - INSUMO;UN;0
IOGURTE FR VERM ZERO POTE 240 ML - INSUMO;UN;0
AÇAI ZERO 240ML - INSUMO;UN;0
GRANULADO PISTACHE GRANELLATO - INSUMO;KG;0
CALDA DE PISTACHE GANACHE - INSUMO;KG;0
GELATO IOGURTE COM FRUTAS VERMELHAS ZERO;KG;0
BAUNILHA PET GELATO - INSUMO;KG;0
ALFARROBA PET GELATO - INSUMO;KG;0
MORANGO PET GELATO - INSUMO;KG;0
BACON PET GELATO - INSUMO;KG;0
POMAR PET BAUNILHA (EM PÓ) - INSUMO;UN;0
POMAR PET ALFARROBA (EM PÓ) - INSUMO;UN;0
POMAR PET MORANGO (EM PÓ) - INSUMO;UN;0
POMAR PET BACON (EM PÓ) - INSUMO;UN;0
GELATO TANGERINA;KG;0
BOMBOM DE PISTACHE - INSUMO;UN;0
LEITE TIPO A;L;0
MISTURA EM PÓ FROZEN IOGURTE NATURAL;KG;0
MARACUJA 240ML - INSUMO;UN;0
GELATO AÇAÍ NATURAL;KG;0
CAFE - INSUMO;UN;0
CESTO DE CHURROS  - INSUMOS;UN;0
GELATO SPECULOS PREMIUM;KG;0
CALDA DE CARAMELO SALGADO - INSUMO;KG;0
PETIT GATEU - INSUMO;UN;0
WAFFLE INSUMO;UN;0
BOMBOM DE DOCE DE LEITE - INSUMO;UN;0
BOMBOM DE MARACUJA - INSUMO;UN;0
BOMBOM DE CAFE - INSUMO;UN;0
BOMBOM DE BRIGADEIRO - INSUMO;UN;0
BOMBOM DE MORANGO - INSUMO;UN;0
BOMBOM DE CUPUAÇU - INSUMO;UN;0
BOMBOM PROTEICO DE CHOCOLATE- INSUMO;UN;0
CAPPUCCINO - INSUMO;UN;0
COPO CAFE 50ML;UN;0
GELATO MARACUJA;KG;0
CHURROS FORMATO DE CONE - INSUMOS;UN;0
